variant,group,param_value,param_label,stats_diff_max_abs,lr_asthma_max_abs,kw_ind_max_abs,ci_utility,usefulness_score,anonymity_score_lr,anonymity_score_stats
noise_lvl1_soft,Noise Injection,0.01,swap 1%,0.03211213756793736,0.5573072908593029,0.019666851487172565,67.176031650353,67.176031650353,0.44269270914069714,0.9678878624320626
noise_lvl2_mild,Noise Injection,0.02,swap 2%,0.06897197378242542,0.8515937044913127,0.032630350985898005,59.556639939158764,59.556639939158764,0.14840629550868734,0.9310280262175745
noise_lvl3_balanced,Noise Injection,0.04,swap 4%,0.10083223746649542,0.8180402277143096,0.05622344263969675,58.48143709426006,58.48143709426006,0.18195977228569038,0.8991677625335046
noise_lvl4_strong,Noise Injection,0.07,swap 7%,0.13544512195850952,0.819963981296278,0.10701433128666021,56.042628870000854,56.042628870000854,0.180036018703722,0.8645548780414904
noise_lvl5_extreme,Noise Injection,0.1,swap 10%,0.18458292319994377,0.870205576884355,0.1662102091157212,51.88836735200073,51.88836735200073,0.12979442311564504,0.8154170768000563
method_k_anonymity_k02,k-Anonymity,2.0,k=2,0.2479,0.9737060937409717,0.19995679903561586,46.61074214446825,46.61074214446825,0.026293906259028277,0.7521
method_k_anonymity_k05,k-Anonymity,5.0,k=5,0.3129009439350385,0.9999999964388242,0.2719049108026726,42.04586409776853,42.04586409776853,3.561175798694194e-09,0.6870990560649615
method_k_anonymity_k08,k-Anonymity,8.0,k=8,0.33486305327536636,1.0,0.2719981249514658,41.165515369956026,41.165515369956026,0.0,0.6651369467246336
method_k_anonymity_k15,k-Anonymity,15.0,k=15,0.366507528461256,1.0,0.2920129067598423,39.499440726352915,39.499440726352915,0.0,0.633492471538744
T-Outlier 1.00%,t-Outlier k-means,0.01,tail 1%,0.0064956178636055295,0.13700283629303722,3.393603930434974e-05,76.99943983880895,76.99943983880895,0.8629971637069628,0.9935043821363945
T-Outlier 5.00%,t-Outlier k-means,0.05,tail 5%,0.00816749824359797,0.09145173129798212,5.4125504655111456e-05,77.84318293420334,77.84318293420334,0.9085482687020179,0.991832501756402
T-Outlier 10.00%,t-Outlier k-means,0.1,tail 10%,0.010887552321054761,0.3733636436010038,0.00011676317765513256,72.09488977158463,72.09488977158463,0.6266363563989962,0.9891124476789452
